team,firstName,lastName,position,jerseyNum,ovr,speed,acceleration,strength,agility,awareness,catching,carrying,throwPower,throwAccuracy,kickPower,kickAccuracy,runBlock,passBlock,tackle,jumping,kickReturn,injury,stamina,toughness,trucking,elusiveness,bCVision,stiffArm,spinMove,jukeMove,impactBlocking,runBlockStrength,runBlockFootwork,passBlockStrength,passBlockFootwork,powerMoves,finesseMoves,blockShedding,pursuit,playRecognition,manCoverage,zoneCoverage,spectacularCatch,catchInTraffic,routeRunning,hitPower,press,release,throwAccuracyShort,throwAccuracyMid,throwAccuracyDeep,playAction,throwOnTheRun,height,weight,age
Seahawks,Earl,Thomas III,FS,29,93,91,93,59,93,87,78,67,30,35,20,15,45,45,77,92,77,93,97,82,40,77,74,25,75,85,45,45,45,45,45,55,45,63,87,87,78,89,77,70,30,72,80,20,10,6,6,10,10,70,202,27
Titans,Delanie,Walker,TE,82,93,85,84,73,83,90,89,72,35,33,22,25,91,70,41,87,44,88,89,75,77,65,68,86,45,62,76,82,74,47,45,10,10,49,55,40,10,25,77,75,82,25,25,78,15,10,6,6,10,72,248,32
Bengals,Andrew,Whitworth,LT,77,93,60,71,93,54,91,24,40,35,40,20,28,94,95,37,53,13,90,90,88,40,19,10,10,10,10,88,91,82,99,98,20,20,37,40,10,15,12,12,10,10,12,10,12,6,6,6,6,6,79,330,34
Saints,Terron,Armstead,LT,72,92,80,85,83,75,88,65,62,30,30,25,25,93,95,37,84,10,92,92,73,35,25,30,33,25,35,88,76,82,85,87,10,10,25,24,17,15,20,55,69,44,20,10,45,6,6,6,6,6,77,304,25
Packers,Mike,Daniels,RE,76,92,75,85,88,74,85,43,52,29,25,26,21,45,45,89,85,12,84,89,91,25,11,10,29,10,10,45,45,45,45,45,80,96,93,86,85,20,60,25,25,10,70,10,12,6,6,6,6,6,72,310,27
Eagles,Brandon,Graham,RE,55,92,80,87,78,74,84,32,22,12,15,14,12,45,45,88,77,10,78,84,79,40,15,10,10,60,10,45,45,45,45,45,97,87,79,91,84,55,66,20,15,15,88,20,25,6,6,6,6,6,74,265,28
Cowboys,Zack,Martin,RG,70,92,69,81,89,65,85,32,40,29,9,9,14,92,95,28,73,10,97,93,88,24,10,10,10,10,10,84,92,88,88,82,10,10,27,48,31,9,11,15,15,15,20,10,15,6,6,6,6,6,76,310,25
Buccaneers,Gerald,McCoy,DT,93,92,69,84,92,75,86,32,40,15,16,12,11,45,45,89,82,10,87,90,79,35,17,35,10,10,10,45,45,45,45,45,97,82,82,82,86,24,32,12,10,10,85,10,12,6,6,6,6,6,76,300,28
Bears,Pernell,McPhee,LOLB,92,92,76,81,92,79,91,34,40,12,12,10,18,45,45,83,67,10,87,91,87,10,31,10,10,14,15,45,45,45,45,45,97,88,94,91,91,53,64,15,15,15,87,16,30,6,6,6,6,6,75,275,27
Seahawks,Richard,Sherman,CB,25,92,89,90,75,96,90,85,66,12,15,12,10,45,45,70,98,51,96,99,94,51,74,85,50,75,77,45,45,45,45,45,35,55,58,84,90,88,94,81,64,39,66,98,48,6,6,6,6,6,75,195,27
Panthers,Kawann,Short,DT,99,92,70,85,87,69,85,44,40,16,15,15,15,45,45,85,71,10,95,80,64,33,15,25,29,15,10,45,45,45,45,45,95,82,93,88,85,28,46,15,15,15,69,14,15,6,6,6,6,6,75,315,27
Ravens,Eric,Weddle,FS,32,92,86,91,65,89,90,73,70,30,28,45,35,45,45,79,81,67,95,99,80,25,50,76,30,65,77,45,45,45,45,45,40,63,57,87,90,71,87,35,30,20,77,65,20,6,6,6,6,6,71,200,31
Redskins,Trent,Williams,LT,71,92,75,81,92,71,92,20,40,12,8,11,10,88,95,32,67,10,90,85,92,10,15,10,10,10,10,83,85,93,91,97,10,10,32,31,19,10,14,15,15,15,60,10,15,6,6,6,6,6,77,320,28
Seahawks,Michael,Bennett,LE,72,91,74,86,90,76,82,45,40,10,20,30,20,45,45,91,68,10,92,90,78,33,27,21,10,30,40,45,45,45,45,45,97,75,94,85,82,25,35,20,10,10,77,35,12,6,6,6,6,6,76,274,30
Seahawks,Kam,Chancellor,SS,31,91,87,87,74,83,86,78,55,23,29,14,11,45,45,83,94,35,94,95,92,65,35,40,45,45,55,45,45,45,45,45,62,44,72,83,86,67,79,25,30,10,97,67,20,6,6,6,6,6,75,225,28
Colts,Vontae,Davis,CB,21,91,88,92,67,96,92,81,65,18,16,12,12,45,45,67,94,55,96,92,75,30,71,70,25,85,92,45,45,45,45,45,40,57,43,76,92,89,86,40,35,25,66,95,12,6,6,6,6,6,71,207,28
Falcons,Patrick,DiMarco,FB,42,91,72,82,74,73,87,55,73,30,25,19,22,79,61,45,73,50,92,86,88,73,64,68,70,73,72,92,84,72,60,54,30,35,35,50,20,15,20,45,54,49,35,20,50,20,15,10,10,10,73,234,27
Cardinals,Larry,Fitzgerald,WR,11,91,86,88,74,84,98,97,77,26,29,18,19,59,40,30,96,25,94,98,97,69,66,94,80,82,81,68,65,78,50,60,10,10,40,42,30,18,14,97,94,96,12,10,92,15,10,6,6,10,75,218,33
Cowboys,Travis,Frederick,C,72,91,52,75,90,59,89,45,44,26,24,22,22,96,86,33,74,10,91,92,89,25,10,15,10,10,10,99,99,97,85,75,10,10,10,15,10,12,12,12,15,10,20,10,12,6,6,6,6,6,76,315,25
Bears,Alshon,Jeffery,WR,17,91,90,87,79,87,90,96,73,29,25,18,18,64,45,35,91,20,91,90,88,75,69,85,83,83,73,57,61,52,45,40,10,10,54,30,30,19,22,98,97,95,15,15,98,15,10,6,6,10,75,216,26
Texans,Johnathan,Joseph,CB,24,91,89,88,49,88,93,74,60,27,40,10,11,45,45,56,92,64,86,96,68,25,42,60,15,73,85,45,45,45,45,45,20,41,46,67,93,96,92,60,40,30,40,74,15,6,6,6,6,6,71,188,32
Packers,T.J.,Lang,RG,70,91,63,78,86,62,91,22,40,22,20,22,20,91,94,42,35,10,92,85,83,10,19,10,10,10,10,83,91,90,92,84,15,15,25,35,30,9,12,12,10,10,35,10,12,6,6,6,6,6,76,318,28
Patriots,Devin,McCourty,FS,32,91,90,90,55,91,87,81,50,30,19,22,24,45,45,70,92,74,95,97,77,27,74,45,25,75,77,45,45,45,45,45,35,45,62,87,87,81,89,55,45,15,67,75,12,6,6,6,6,6,70,195,29
Cardinals,Patrick,Peterson,CB,21,91,93,92,67,97,86,81,67,70,52,28,21,45,45,60,97,88,97,97,82,55,93,95,65,87,94,45,45,45,45,45,52,62,43,74,86,92,89,84,66,40,72,96,54,60,37,32,10,35,73,203,26
Vikings,Adrian,Peterson,HB,28,91,92,91,88,93,97,60,81,35,40,25,26,43,54,42,89,45,87,98,97,93,91,96,93,91,92,34,32,32,55,60,10,10,35,40,28,12,12,40,55,63,15,15,59,35,30,20,15,15,73,220,31
Jets,Darrelle,Revis,CB,24,91,89,92,63,89,94,77,71,30,32,22,15,45,45,63,87,25,88,98,65,36,70,75,30,84,88,45,45,45,45,45,45,57,63,79,94,90,86,55,50,20,66,97,30,6,6,6,6,6,71,198,31
Packers,Josh,Sitton,LG,71,91,60,77,91,60,88,40,40,30,30,25,25,88,96,30,49,10,84,86,83,20,12,10,30,10,10,84,93,83,95,87,10,10,20,20,15,12,15,15,15,15,20,10,15,6,6,6,6,6,75,318,30
Giants,Olivier,Vernon,RE,54,91,81,87,83,74,81,35,40,28,16,15,24,45,45,84,86,10,90,92,90,33,12,25,38,40,31,45,45,45,45,45,97,80,95,79,81,34,62,15,15,15,71,18,15,6,6,6,6,6,74,275,25
Seahawks,Russell,Wilson,QB,3,91,85,89,59,92,91,68,69,93,91,10,19,46,10,26,83,10,97,97,98,38,81,94,65,86,88,15,15,15,10,10,10,10,16,47,26,15,14,42,35,31,12,10,25,93,91,88,81,91,71,215,27
Lions,Ezekiel,Ansah,RE,94,90,85,89,84,81,81,45,51,33,25,44,40,45,45,80,86,10,94,90,74,45,40,42,45,62,35,45,45,45,45,45,93,82,84,87,81,35,47,30,25,15,90,45,20,6,6,6,6,6,77,278,27
Seahawks,Cliff,Avril,RE,56,90,84,90,72,78,86,64,55,25,25,20,20,45,45,68,84,10,93,84,84,25,33,25,35,15,30,45,45,45,45,45,84,97,89,81,86,45,65,15,15,15,78,45,12,6,6,6,6,6,75,260,30
Saints,Drew,Brees,QB,9,90,68,71,53,63,98,38,62,89,92,21,35,26,25,26,52,10,97,95,96,20,34,51,25,35,70,26,26,26,25,25,10,10,26,25,32,17,21,15,15,15,12,10,15,94,93,87,94,80,72,209,37
Cowboys,Dez,Bryant,WR,88,90,90,91,74,97,91,89,72,34,22,26,21,44,45,40,98,83,88,92,95,74,91,87,78,89,93,60,63,56,49,45,10,10,35,55,15,19,18,97,93,89,15,15,88,25,20,15,15,25,74,220,27
Bengals,Tyler,Eifert,TE,85,90,84,87,71,85,85,87,79,40,35,22,21,78,59,35,91,10,88,95,83,75,57,85,68,65,70,64,66,71,62,65,20,30,50,39,22,11,27,89,88,85,25,25,84,15,10,6,6,10,78,250,25
Chiefs,Tamba,Hali,ROLB,91,90,74,79,89,74,93,43,40,32,40,16,6,45,45,81,74,12,91,90,84,10,25,10,10,25,19,45,45,45,45,45,93,80,84,85,93,59,71,15,15,15,86,18,25,6,6,6,6,6,75,275,32
Patriots,Dont'a,Hightower,ROLB,54,90,83,88,84,76,87,55,59,16,10,12,11,45,45,95,82,10,90,95,90,65,29,35,46,20,25,45,45,45,45,45,88,68,82,89,87,60,79,20,15,15,90,78,25,6,6,6,6,6,75,265,26
Bills,Richie,Incognito,LG,64,90,71,76,92,54,88,31,40,14,10,8,9,96,87,25,45,10,89,91,97,10,17,10,10,10,10,84,91,82,84,65,10,10,25,25,32,17,12,15,15,15,25,15,15,6,6,6,6,6,75,319,33
Chiefs,Derrick,Johnson,MLB,56,90,81,85,73,83,96,74,65,8,12,21,10,45,45,86,74,10,85,96,90,25,46,35,50,60,54,45,45,45,45,45,59,69,83,94,96,78,87,45,25,15,83,55,20,6,6,6,6,6,75,242,33
Saints,Cameron,Jordan,LE,94,90,80,86,91,75,86,35,40,30,22,33,29,45,45,89,69,10,95,91,85,10,24,26,25,25,30,45,45,45,45,45,96,69,84,85,86,21,44,15,15,15,82,20,20,6,6,6,6,6,76,287,27
Broncos,Brandon,Marshall,MLB,54,90,85,87,77,81,91,67,55,25,25,20,20,45,45,93,81,10,89,97,75,43,32,41,35,25,35,45,45,45,45,45,79,61,86,91,91,70,81,20,24,15,80,40,25,6,6,6,6,6,73,250,26
Buccaneers,Doug,Martin,HB,22,90,89,88,79,91,96,60,87,39,33,35,33,45,56,54,88,65,88,95,91,90,91,94,91,86,87,57,54,52,49,45,25,30,49,62,37,35,45,65,71,72,70,20,58,35,30,15,10,10,69,223,27
Lions,Darius,Slay,CB,23,90,93,92,54,93,86,73,64,36,29,25,21,45,45,58,88,72,92,94,67,39,82,81,43,81,84,45,45,45,45,45,40,49,46,78,86,92,92,65,55,40,74,75,40,6,6,6,6,6,72,192,25
Ravens,Terrell,Suggs,ROLB,55,90,77,83,90,74,86,51,65,19,18,26,17,45,45,92,79,10,88,95,96,44,11,35,10,55,45,45,45,45,45,45,97,81,87,95,86,51,60,40,20,15,84,45,30,6,6,6,6,6,75,265,33
Broncos,Aqib,Talib,CB,21,90,88,93,64,91,89,83,74,40,40,25,25,45,45,61,96,67,87,94,85,40,76,86,30,80,89,45,45,45,45,45,47,57,62,75,89,86,90,80,60,55,67,94,55,6,6,6,6,6,73,205,30
Falcons,Desmond,Trufant,CB,21,90,92,93,52,97,90,74,54,22,22,25,25,45,45,74,92,50,96,93,65,15,73,74,25,69,77,45,45,45,45,45,30,40,67,83,90,87,86,60,50,30,42,91,15,6,6,6,6,6,72,190,25
Seahawks,Doug,Baldwin,WR,89,89,91,91,49,92,96,94,75,24,22,21,18,61,25,39,89,75,92,88,78,33,88,91,46,82,90,33,32,30,15,15,10,10,35,42,24,12,17,92,93,93,15,15,84,15,10,6,6,10,70,192,27
Chiefs,Jamaal,Charles,HB,25,89,91,92,62,97,89,72,87,30,30,25,25,40,49,25,90,66,87,95,74,68,93,96,71,92,95,35,35,35,55,60,10,10,11,38,20,15,20,72,73,81,20,20,65,35,30,20,15,15,71,199,29
Patriots,Julian,Edelman,WR,11,89,86,91,62,91,95,94,75,76,65,18,17,50,28,41,84,88,88,95,85,64,88,93,62,78,89,40,33,33,25,29,20,20,45,58,26,43,48,84,92,97,20,40,86,55,54,50,57,78,70,200,30
Bills,Cordy,Glenn,LT,77,89,67,78,93,68,89,33,40,16,19,14,29,80,94,24,63,10,89,83,83,25,10,10,35,10,10,86,88,85,96,95,15,10,20,28,22,16,12,15,15,15,23,10,15,6,6,6,6,6,78,345,26
Seahawks,Jimmy,Graham,TE,88,89,84,89,76,87,85,88,79,32,34,22,12,67,57,30,91,10,92,89,72,71,60,82,80,73,75,62,65,64,60,55,30,25,40,22,20,17,15,93,87,85,25,25,86,30,25,20,10,20,79,265,29
Colts,T.Y.,Hilton,WR,13,89,94,92,41,96,92,93,64,22,18,15,14,41,33,20,86,85,85,93,80,31,95,94,49,86,94,33,35,33,29,25,10,10,35,37,22,12,22,91,89,95,15,15,86,15,10,6,6,10,69,178,26
Vikings,Linval,Joseph,DT,98,89,67,79,95,63,84,24,40,20,23,15,16,45,45,89,72,10,87,84,76,25,10,10,10,20,18,45,45,45,45,45,90,60,97,83,84,20,15,15,15,15,56,16,15,6,6,6,6,6,76,329,27
Panthers,Ryan,Kalil,C,67,89,68,79,87,67,86,25,40,22,25,20,24,96,84,40,66,10,92,88,94,20,15,10,10,10,10,91,89,97,85,87,20,15,40,29,20,13,15,12,10,10,20,10,12,6,6,6,6,6,74,300,31
Cowboys,Sean,Lee,ROLB,50,89,82,89,75,81,92,81,50,25,25,20,20,45,45,92,75,10,77,95,80,35,20,25,35,15,30,45,45,45,45,45,74,62,81,86,92,75,85,63,65,15,83,50,12,6,6,6,6,6,74,234,30
Jets,Brandon,Marshall,WR,15,89,87,85,78,86,93,92,76,24,20,12,12,65,35,45,91,25,92,97,90,81,70,88,87,82,84,65,62,60,45,35,10,10,63,45,26,18,39,94,96,89,12,10,97,15,10,6,6,10,76,225,32
Packers,Clay,Matthews,LOLB,52,89,84,89,84,84,88,69,52,13,20,17,10,45,45,85,80,10,88,97,98,10,28,10,10,10,10,45,45,45,45,45,86,72,78,93,88,65,76,35,25,25,95,45,15,6,6,6,6,6,75,255,30
Packers,Jordy,Nelson,WR,87,89,88,91,67,88,92,96,73,37,36,25,25,60,25,31,83,71,87,96,85,45,79,95,65,78,88,35,40,40,40,40,15,15,45,39,15,15,20,94,93,95,12,10,91,15,10,6,6,10,75,217,31
Raiders,Kelechi,Osemele,RG,70,89,62,75,92,61,87,19,40,29,21,21,32,92,86,32,71,10,88,90,75,35,11,10,10,10,10,88,95,84,81,74,10,10,22,35,18,9,10,12,10,10,22,10,12,6,6,6,6,6,77,330,27
Cardinals,Carson,Palmer,QB,3,89,67,62,64,59,94,12,59,91,92,14,17,10,11,13,52,10,88,95,95,20,20,43,30,39,53,10,10,10,11,11,10,10,13,30,24,13,26,12,10,10,12,10,12,94,93,88,85,82,77,235,36
Rams,Robert,Quinn,RE,94,89,84,87,87,84,83,37,35,33,26,14,22,45,45,81,82,10,92,88,78,46,40,35,40,35,33,45,45,45,45,45,90,74,86,91,83,35,51,30,20,20,89,45,12,6,6,6,6,6,76,264,26
Redskins,Jordan,Reed,TE,86,89,86,88,64,87,93,92,74,65,48,25,15,63,55,45,85,10,84,90,72,71,84,90,64,77,84,60,45,54,51,62,10,10,40,42,16,15,17,88,86,92,12,10,81,61,54,43,35,40,74,246,26
Ravens,Steve,Smith Sr.,WR,89,89,88,90,71,89,92,93,68,17,18,19,19,59,35,34,87,80,88,95,99,71,91,95,93,91,93,45,45,45,18,18,10,10,35,59,25,18,26,92,93,92,15,15,87,15,10,6,6,10,69,195,37
49ers,Joe,Staley,LT,74,89,74,82,87,74,94,62,61,18,24,20,22,86,89,25,78,10,90,94,86,10,25,10,10,10,10,92,95,99,85,95,10,10,25,31,10,12,12,30,40,44,15,10,47,6,6,6,6,6,77,315,32
Lions,Golden,Tate III,WR,15,89,90,92,59,95,91,93,75,27,29,19,19,34,18,19,91,89,89,95,89,65,95,92,63,85,93,49,30,25,18,18,10,10,35,49,25,18,22,89,89,91,15,15,85,25,25,20,15,10,70,195,28
Dolphins,Cameron,Wake,LE,91,89,77,84,75,84,90,50,45,24,22,15,14,45,45,79,86,10,92,85,83,25,35,10,25,30,25,45,45,45,45,45,96,79,73,91,90,47,32,25,22,10,87,43,15,6,6,6,6,6,75,270,34
Jets,Muhammad,Wilkerson,LE,96,89,71,80,94,76,86,31,40,24,12,15,17,45,45,96,72,10,94,95,85,30,20,10,10,10,10,45,45,45,45,45,91,66,95,92,86,25,45,12,10,10,74,10,12,6,6,6,6,6,76,315,26
Bengals,Kevin,Zeitler,RG,68,89,59,78,91,60,87,15,40,12,14,18,16,92,88,25,79,10,79,88,96,20,11,10,10,10,10,87,86,86,81,78,10,10,15,21,13,13,15,15,15,15,20,10,15,6,6,6,6,6,76,315,26
Chargers,Keenan,Allen,WR,13,88,89,92,69,91,89,91,74,35,28,22,20,51,45,34,91,76,88,94,83,71,73,89,73,79,85,65,61,57,54,49,10,10,35,35,26,15,26,89,94,94,15,10,87,30,25,15,15,25,74,211,24
Vikings,Anthony,Barr,LOLB,55,88,88,90,68,89,80,67,70,35,32,30,30,50,50,86,84,10,85,89,78,67,55,70,65,66,65,50,50,50,50,50,90,78,86,90,80,73,85,45,49,35,81,35,12,6,6,6,6,6,77,255,24
49ers,NaVorro,Bowman,MLB,53,88,83,86,79,83,89,65,50,22,22,10,10,45,45,92,75,10,87,91,75,10,35,27,12,10,40,45,45,45,45,45,79,62,82,94,89,61,70,45,40,10,93,55,20,6,6,6,6,6,72,242,28
Bengals,Vontaze,Burfict,ROLB,55,88,78,83,79,75,88,61,59,22,22,12,10,45,45,91,80,10,96,93,93,50,15,25,55,25,20,45,45,45,45,45,83,60,89,95,88,69,81,35,33,10,95,45,20,6,6,6,6,6,73,248,25
Cardinals,Calais,Campbell,LE,93,88,71,80,87,80,85,46,45,35,32,30,30,45,45,92,85,10,96,92,80,40,26,20,45,15,15,45,45,45,45,45,74,88,92,88,85,28,42,15,10,10,84,35,12,6,6,6,6,6,80,300,30
Patriots,Jamie,Collins,MLB,91,88,85,89,72,83,87,67,55,48,44,13,15,45,45,92,96,10,96,93,75,45,25,47,42,45,40,45,45,45,45,45,93,80,81,91,87,70,84,40,35,15,86,45,35,50,46,44,25,55,75,250,26
Bills,Marcell,Dareus,DT,99,88,73,84,94,71,84,40,40,25,25,20,20,45,45,96,69,10,94,72,96,40,12,39,55,10,10,45,45,45,45,45,81,56,94,89,84,25,34,15,15,15,90,15,15,6,6,6,6,6,75,331,26
Panthers,Thomas,Davis Sr.,ROLB,58,88,81,81,72,85,90,71,65,17,19,21,20,45,45,91,83,10,83,94,98,45,15,35,49,10,74,45,45,45,45,45,79,69,66,90,90,78,88,61,30,15,94,60,25,6,6,6,6,6,73,235,33
Titans,Jalston,Fowler,FB,45,88,77,87,75,68,78,58,79,30,29,15,15,79,66,37,83,50,75,81,69,74,40,77,71,65,63,86,64,57,66,64,10,5,20,39,15,10,15,45,60,50,25,15,61,30,25,15,10,10,71,254,26
